Predicted_MWH,Year
102071533.0,1990
102870562.0,1991
86482429.0,1992
87995776.0,1993
88586476.0,1994
102197586.0,1995
118658132.0,1996
122126167.0,1997
102158508.0,1998
117084018.0,1999
108236880.0,2000
83048669.0,2001
102765048.0,2002
100094691.0,2003
102165052.0,2004
101965850.0,2005
108203155.0,2006
106990217.0,2007
110828451.0,2008
104470133.0,2009
103472729.0,2010
115262600.82,2011
116835473.0,2012
114172916.23,2013
116334363.0,2014
109287458.0,2015
114086582.0,2016
115912078.0,2017
116756729.0,2018
106463608.0,2019
116114468.0,2020
110808401.0,2021
114414171.42537975,2022
114825905.90593135,2023
115237640.38648295,2024
115649374.86703455,2025
116061109.34758604,2026
116472843.82813764,2027
116884578.30868924,2028
117296312.78924084,2029
117708047.26979244,2030
118119781.75034404,2031
118531516.23089552,2032
118943250.71144712,2033
119354985.19199872,2034
119766719.67255032,2035
120178454.15310192,2036
120590188.63365352,2037
121001923.11420512,2038
121413657.5947566,2039
121825392.0753082,2040
122237126.5558598,2041
122648861.0364114,2042
123060595.516963,2043
123472329.9975146,2044
123884064.47806609,2045
124295798.95861769,2046
124707533.43916929,2047
125119267.91972089,2048
125531002.40027249,2049
125942736.88082409,2050
126354471.36137569,2051
126766205.84192717,2052
127177940.32247877,2053
127589674.80303037,2054
128001409.28358197,2055
128413143.76413357,2056
128824878.24468517,2057
129236612.72523665,2058
129648347.20578825,2059
130060081.68633986,2060
130471816.16689146,2061
130883550.64744306,2062
131295285.12799466,2063
131707019.60854626,2064
132118754.08909774,2065
132530488.56964934,2066
132942223.05020094,2067
133353957.53075254,2068
133765692.01130414,2069
134177426.49185574,2070
134589160.97240722,2071
